RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1604080665583	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1604080666454	1604080666454
REQUEST	1		01.01.Admin.Portal.Home	1604080666508	1604080666579	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1604080677823	1604080678014	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1604080689516	1604080689692	OK	 
USER	Admin-Web-Perf-Test	2	START	1604080696469	1604080696469
REQUEST	2		01.01.Admin.Portal.Home	1604080696471	1604080696521	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1604080701214	1604080701443	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1604080710882	1604080711046	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1604080715194	1604080715436	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1604080725292	1604080725707	OK	 
USER	Admin-Web-Perf-Test	3	START	1604080726468	1604080726468
REQUEST	3		01.01.Admin.Portal.Home	1604080726470	1604080726520	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1604080730334	1604080730617	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1604080735754	1604080735984	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1604080740758	1604080740905	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1604080741449	1604080741829	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1604080745312	1604080745441	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1604080746513	1604080746620	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1604080754573	1604080754584	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1604080754229	1604080754635	OK	 
USER	Admin-Web-Perf-Test	4	START	1604080756470	1604080756470
REQUEST	4		01.01.Admin.Portal.Home	1604080756472	1604080756564	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1604080757069	1604080757259	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1604080760899	1604080761065	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1604080763959	1604080764039	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1604080764318	1604080764522	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1604080767402	1604080767630	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1604080768831	1604080769035	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1604080771481	1604080771630	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1604080773041	1604080773051	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1604080775988	1604080776195	OK	 
REQUEST	1		07.01.Admin.Portal.HearingDetails	1604080776918	1604080776927	OK	 
REQUEST	4		01.04.Admin.Portal.Home	1604080779430	1604080779698	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1604080784853	1604080784872	OK	 
REQUEST	4		02.00.Admin.Portal.Login	1604080785739	1604080785922	OK	 
USER	Admin-Web-Perf-Test	5	START	1604080786468	1604080786468
REQUEST	5		01.01.Admin.Portal.Home	1604080786469	1604080786515	OK	 
REQUEST	3		06.01.Admin.Portal.BookHearing	1604080787212	1604080787222	OK	 
REQUEST	1		07.02.Admin.Portal.HearingDetails	1604080790731	1604080790747	OK	 
REQUEST	2		07.01.Admin.Portal.HearingDetails	1604080793469	1604080793488	OK	 
REQUEST	5		01.02.Admin.Portal.Home	1604080793813	1604080794065	OK	 
REQUEST	3		06.02.Admin.Portal.BookHearing	1604080795621	1604080795665	OK	 
REQUEST	1		08.01.Admin.Portal.HearingSchedule	1604080800300	1604080800319	OK	 
REQUEST	4		05.01.Admin.Portal.Back2Dashboard	1604080800013	1604080800467	OK	 
REQUEST	2		07.02.Admin.Portal.HearingDetails	1604080802232	1604080802267	OK	 
REQUEST	3		07.01.Admin.Portal.HearingDetails	1604080800858	1604080802437	OK	 
REQUEST	4		05.02.Admin.Portal.Back2Dashboard	1604080805951	1604080805959	OK	 
REQUEST	5		01.03.Admin.Portal.Home	1604080808562	1604080808776	OK	 
REQUEST	2		08.01.Admin.Portal.HearingSchedule	1604080812884	1604080812893	OK	 
REQUEST	5		01.04.Admin.Portal.Home	1604080815358	1604080815635	OK	 
USER	Admin-Web-Perf-Test	6	START	1604080816449	1604080816449
REQUEST	6		01.01.Admin.Portal.Home	1604080816451	1604080816492	OK	 
REQUEST	3		07.02.Admin.Portal.HearingDetails	1604080816631	1604080816647	OK	 
REQUEST	1		08.02.Admin.Portal.HearingSchedule	1604080817852	1604080817962	OK	 
REQUEST	4		06.01.Admin.Portal.BookHearing	1604080819462	1604080819472	OK	 
REQUEST	5		02.00.Admin.Portal.Login	1604080821632	1604080821812	OK	 
REQUEST	2		08.02.Admin.Portal.HearingSchedule	1604080824968	1604080825107	OK	 
REQUEST	1		09.01.Admin.Portal.AssignJudge	1604080827099	1604080827109	OK	 
REQUEST	3		08.01.Admin.Portal.HearingSchedule	1604080828509	1604080828520	OK	 
REQUEST	6		01.02.Admin.Portal.Home	1604080828959	1604080829139	OK	 
REQUEST	4		06.02.Admin.Portal.BookHearing	1604080832898	1604080832988	OK	 
REQUEST	2		09.01.Admin.Portal.AssignJudge	1604080834840	1604080834850	OK	 
REQUEST	5		05.01.Admin.Portal.Back2Dashboard	1604080835838	1604080836064	OK	 
REQUEST	4		07.01.Admin.Portal.HearingDetails	1604080839238	1604080839505	OK	 
REQUEST	1		10.01.Admin.Portal.AddParticipant	1604080839773	1604080839790	OK	 
REQUEST	6		01.03.Admin.Portal.Home	1604080839793	1604080839959	OK	 
REQUEST	5		05.02.Admin.Portal.Back2Dashboard	1604080842758	1604080842768	OK	 
REQUEST	3		08.02.Admin.Portal.HearingSchedule	1604080844894	1604080844981	OK	 
REQUEST	4		07.02.Admin.Portal.HearingDetails	1604080845250	1604080845272	OK	 
REQUEST	2		10.01.Admin.Portal.AddParticipant	1604080845539	1604080845559	OK	 
USER	Admin-Web-Perf-Test	7	START	1604080846461	1604080846461
REQUEST	7		01.01.Admin.Portal.Home	1604080846463	1604080846531	OK	 
REQUEST	4		08.01.Admin.Portal.HearingSchedule	1604080850679	1604080850690	OK	 
REQUEST	3		09.01.Admin.Portal.AssignJudge	1604080850762	1604080850770	OK	 
REQUEST	1		10.03.Admin.Portal.AddParticipant	1604080852573	1604080852628	OK	 
REQUEST	6		01.04.Admin.Portal.Home	1604080852810	1604080853033	OK	 
REQUEST	7		01.02.Admin.Portal.Home	1604080853133	1604080853332	OK	 
REQUEST	2		10.03.Admin.Portal.AddParticipant	1604080854201	1604080854286	OK	 
REQUEST	5		06.01.Admin.Portal.BookHearing	1604080855123	1604080855132	OK	 
REQUEST	1		10.05.Admin.Portal.AddParticipant	1604080861343	1604080861353	OK	 
REQUEST	2		10.05.Admin.Portal.AddParticipant	1604080862133	1604080862144	OK	 
REQUEST	6		02.00.Admin.Portal.Login	1604080862220	1604080862373	OK	 
REQUEST	4		08.02.Admin.Portal.HearingSchedule	1604080862509	1604080862637	OK	 
REQUEST	3		10.01.Admin.Portal.AddParticipant	1604080862838	1604080862847	OK	 
REQUEST	7		01.03.Admin.Portal.Home	1604080866678	1604080866808	OK	 
REQUEST	1		11.01.Admin.Portal.OtherInfo	1604080867763	1604080867773	OK	 
REQUEST	3		10.03.Admin.Portal.AddParticipant	1604080867870	1604080867910	OK	 
REQUEST	5		06.02.Admin.Portal.BookHearing	1604080868380	1604080868669	OK	 
REQUEST	6		05.01.Admin.Portal.Back2Dashboard	1604080868900	1604080869150	OK	 
REQUEST	2		11.01.Admin.Portal.OtherInfo	1604080870419	1604080870428	OK	 
REQUEST	4		09.01.Admin.Portal.AssignJudge	1604080873149	1604080873159	OK	 
REQUEST	6		05.02.Admin.Portal.Back2Dashboard	1604080875471	1604080875676	OK	 
REQUEST	3		10.05.Admin.Portal.AddParticipant	1604080875734	1604080875742	OK	 
USER	Admin-Web-Perf-Test	8	START	1604080876473	1604080876473
REQUEST	8		01.01.Admin.Portal.Home	1604080876475	1604080876520	OK	 
