RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1595594576900	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1595594577521	1595594577521
REQUEST	1		01.01.Admin.Portal.Home	1595594577566	1595594577692	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1595594587740	1595594587911	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1595594595872	1595594596018	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1595594601201	1595594601509	OK	 
USER	Admin-Web-Perf-Test	2	START	1595594607529	1595594607529
REQUEST	2		01.01.Admin.Portal.Home	1595594607530	1595594607579	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1595594609477	1595594609928	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1595594620914	1595594621079	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1595594624139	1595594624406	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1595594628727	1595594629124	OK	 
USER	Admin-Web-Perf-Test	3	START	1595594637528	1595594637528
REQUEST	3		01.01.Admin.Portal.Home	1595594637529	1595594637568	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1595594637758	1595594637768	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1595594641340	1595594641615	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1595594647567	1595594647761	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1595594649786	1595594649934	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1595594653707	1595594653873	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1595594656867	1595594657008	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1595594658238	1595594658268	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1595594663451	1595594663733	OK	 
REQUEST	1		07.01.Admin.Portal.HearingDetails	1595594665100	1595594665119	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1595594665186	1595594665415	OK	 
USER	Admin-Web-Perf-Test	4	START	1595594667519	1595594667519
REQUEST	4		01.01.Admin.Portal.Home	1595594667521	1595594667551	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1595594674647	1595594674868	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1595594675596	1595594675607	OK	 
REQUEST	1		07.02.Admin.Portal.HearingDetails	1595594679888	1595594679910	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1595594680090	1595594680253	OK	 
REQUEST	1		08.01.Admin.Portal.HearingSchedule	1595594687132	1595594687142	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1595594688917	1595594689128	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1595594689497	1595594689697	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1595594694512	1595594694782	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1595594696121	1595594696348	OK	 
USER	Admin-Web-Perf-Test	5	START	1595594697536	1595594697536
REQUEST	5		01.01.Admin.Portal.Home	1595594697537	1595594697573	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1595594701696	1595594701832	OK	 
REQUEST	4		01.04.Admin.Portal.Home	1595594704577	1595594704867	OK	 
REQUEST	1		08.02.Admin.Portal.HearingSchedule	1595594705220	1595594705252	OK	 
REQUEST	3		06.01.Admin.Portal.BookHearing	1595594706137	1595594706146	OK	 
REQUEST	2		07.01.Admin.Portal.HearingDetails	1595594707147	1595594707155	OK	 
REQUEST	5		01.02.Admin.Portal.Home	1595594707193	1595594707348	OK	 
REQUEST	1		09.01.Admin.Portal.AssignJudge	1595594713742	1595594713752	OK	 
REQUEST	4		02.00.Admin.Portal.Login	1595594715339	1595594715550	OK	 
REQUEST	5		01.03.Admin.Portal.Home	1595594715427	1595594715591	OK	 
REQUEST	3		06.02.Admin.Portal.BookHearing	1595594716159	1595594716184	OK	 
REQUEST	2		07.02.Admin.Portal.HearingDetails	1595594720903	1595594720921	OK	 
REQUEST	5		01.04.Admin.Portal.Home	1595594723971	1595594724251	OK	 
REQUEST	3		07.01.Admin.Portal.HearingDetails	1595594724916	1595594724926	OK	 
REQUEST	1		10.01.Admin.Portal.AddParticipant	1595594727047	1595594727055	OK	 
REQUEST	4		05.01.Admin.Portal.Back2Dashboard	1595594727076	1595594727303	OK	 
USER	Admin-Web-Perf-Test	6	START	1595594727516	1595594727516
REQUEST	6		01.01.Admin.Portal.Home	1595594727517	1595594727549	OK	 
REQUEST	4		05.02.Admin.Portal.Back2Dashboard	1595594733467	1595594733475	OK	 
REQUEST	3		07.02.Admin.Portal.HearingDetails	1595594734407	1595594734461	OK	 
REQUEST	1		10.03.Admin.Portal.AddParticipant	1595594734176	1595594734655	OK	 
REQUEST	2		08.01.Admin.Portal.HearingSchedule	1595594735286	1595594735296	OK	 
REQUEST	5		02.00.Admin.Portal.Login	1595594737217	1595594737377	OK	 
REQUEST	6		01.02.Admin.Portal.Home	1595594741730	1595594741901	OK	 
REQUEST	1		10.05.Admin.Portal.AddParticipant	1595594742866	1595594742885	OK	 
REQUEST	4		06.01.Admin.Portal.BookHearing	1595594743786	1595594743803	OK	 
REQUEST	3		08.01.Admin.Portal.HearingSchedule	1595594747386	1595594747397	OK	 
REQUEST	5		05.01.Admin.Portal.Back2Dashboard	1595594747803	1595594748002	OK	 
REQUEST	6		01.03.Admin.Portal.Home	1595594752251	1595594752562	OK	 
REQUEST	4		06.02.Admin.Portal.BookHearing	1595594752966	1595594752996	OK	 
REQUEST	2		08.02.Admin.Portal.HearingSchedule	1595594753076	1595594753127	OK	 
REQUEST	1		11.01.Admin.Portal.OtherInfo	1595594754356	1595594754368	OK	 
USER	Admin-Web-Perf-Test	7	START	1595594757516	1595594757516
REQUEST	7		01.01.Admin.Portal.Home	1595594757517	1595594757548	OK	 
REQUEST	6		01.04.Admin.Portal.Home	1595594758252	1595594758539	OK	 
REQUEST	4		07.01.Admin.Portal.HearingDetails	1595594759717	1595594759729	OK	 
REQUEST	5		05.02.Admin.Portal.Back2Dashboard	1595594760146	1595594760404	OK	 
REQUEST	3		08.02.Admin.Portal.HearingSchedule	1595594764169	1595594764190	OK	 
REQUEST	1		12.01.Admin.Portal.SubmitHearing	1595594760790	1595594764602	OK	 
REQUEST	2		09.01.Admin.Portal.AssignJudge	1595594765257	1595594765267	OK	 
REQUEST	7		01.02.Admin.Portal.Home	1595594765166	1595594765336	OK	 
REQUEST	4		07.02.Admin.Portal.HearingDetails	1595594765436	1595594765650	OK	 
REQUEST	2		10.01.Admin.Portal.AddParticipant	1595594770460	1595594770471	OK	 
REQUEST	1		12.02.Admin.Portal.SubmitHearing	1595594771827	1595594771836	OK	 
REQUEST	5		06.01.Admin.Portal.BookHearing	1595594772706	1595594772715	OK	 
REQUEST	3		09.01.Admin.Portal.AssignJudge	1595594772882	1595594772890	OK	 
REQUEST	6		02.00.Admin.Portal.Login	1595594772916	1595594773197	OK	 
REQUEST	2		10.03.Admin.Portal.AddParticipant	1595594776527	1595594776934	OK	 
REQUEST	7		01.03.Admin.Portal.Home	1595594778119	1595594778274	OK	 
REQUEST	4		08.01.Admin.Portal.HearingSchedule	1595594779056	1595594779077	OK	 
REQUEST	3		10.01.Admin.Portal.AddParticipant	1595594780247	1595594780274	OK	 
REQUEST	6		05.01.Admin.Portal.Back2Dashboard	1595594781276	1595594781482	OK	 
REQUEST	1		12.03.Admin.Portal.SubmitHearing	1595594781819	1595594781845	OK	 
REQUEST	2		10.05.Admin.Portal.AddParticipant	1595594783366	1595594783381	OK	 
USER	Admin-Web-Perf-Test	8	START	1595594787519	1595594787519
REQUEST	8		01.01.Admin.Portal.Home	1595594787520	1595594787550	OK	 
REQUEST	5		06.02.Admin.Portal.BookHearing	1595594787694	1595594787748	OK	 
REQUEST	3		10.03.Admin.Portal.AddParticipant	1595594787519	1595594787985	OK	 
REQUEST	7		01.04.Admin.Portal.Home	1595594788408	1595594788711	OK	 
REQUEST	6		05.02.Admin.Portal.Back2Dashboard	1595594789287	1595594789295	OK	 
