RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1594132779161	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1594132779780	1594132779780
REQUEST	1		01.01.Admin.Portal.Home	1594132779825	1594132779862	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1594132789884	1594132790032	OK	 
USER	Admin-Web-Perf-Test	2	START	1594132799791	1594132799791
REQUEST	2		01.01.Admin.Portal.Home	1594132799792	1594132799839	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1594132799739	1594132799881	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1594132807999	1594132808459	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1594132813703	1594132813841	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1594132814160	1594132814347	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1594132818906	1594132819060	OK	 
USER	Admin-Web-Perf-Test	3	START	1594132819795	1594132819795
REQUEST	3		01.01.Admin.Portal.Home	1594132819796	1594132819840	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1594132828353	1594132828597	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1594132833582	1594132833756	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1594132839076	1594132839346	OK	 
USER	Admin-Web-Perf-Test	4	START	1594132839782	1594132839782
REQUEST	4		01.01.Admin.Portal.Home	1594132839783	1594132839822	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1594132840132	1594132840402	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1594132846832	1594132847241	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1594132848386	1594132848395	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1594132852963	1594132853150	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1594132831987	1594132853790	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1594132853904	1594132854051	OK	 
USER	Admin-Web-Perf-Test	5	START	1594132859796	1594132859796
REQUEST	5		01.01.Admin.Portal.Home	1594132859797	1594132859840	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1594132860714	1594132860898	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1594132863263	1594132863304	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1594132865424	1594132865663	OK	 
REQUEST	5		01.02.Admin.Portal.Home	1594132867212	1594132867352	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1594132867572	1594132867714	OK	 
REQUEST	1		07.01.Admin.Portal.HearingDetails	1594132869995	1594132870006	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1594132874995	1594132875244	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1594132876672	1594132877069	OK	 
REQUEST	1		07.02.Admin.Portal.HearingDetails	1594132877425	1594132877457	OK	 
REQUEST	5		01.03.Admin.Portal.Home	1594132878446	1594132878685	OK	 
USER	Admin-Web-Perf-Test	6	START	1594132879791	1594132879791
REQUEST	6		01.01.Admin.Portal.Home	1594132879792	1594132879824	OK	 
REQUEST	4		01.04.Admin.Portal.Home	1594132879898	1594132880309	OK	 
REQUEST	3		06.01.Admin.Portal.BookHearing	1594132882246	1594132882255	OK	 
REQUEST	1		08.01.Admin.Portal.HearingSchedule	1594132885132	1594132885142	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1594132885395	1594132885403	OK	 
REQUEST	6		01.02.Admin.Portal.Home	1594132887075	1594132887208	OK	 
REQUEST	5		01.04.Admin.Portal.Home	1594132887574	1594132887986	OK	 
REQUEST	4		02.00.Admin.Portal.Login	1594132889223	1594132889412	OK	 
REQUEST	5		02.00.Admin.Portal.Login	1594132893792	1594132894182	OK	 
REQUEST	6		01.03.Admin.Portal.Home	1594132894692	1594132894841	OK	 
REQUEST	3		06.02.Admin.Portal.BookHearing	1594132894931	1594132894963	OK	 
REQUEST	1		08.02.Admin.Portal.HearingSchedule	1594132895354	1594132895397	OK	 
REQUEST	4		05.01.Admin.Portal.Back2Dashboard	1594132895704	1594132895941	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1594132898286	1594132898295	OK	 
USER	Admin-Web-Perf-Test	7	START	1594132899791	1594132899791
REQUEST	7		01.01.Admin.Portal.Home	1594132899792	1594132899824	OK	 
REQUEST	3		07.01.Admin.Portal.HearingDetails	1594132901223	1594132901235	OK	 
REQUEST	4		05.02.Admin.Portal.Back2Dashboard	1594132901944	1594132902221	OK	 
REQUEST	6		01.04.Admin.Portal.Home	1594132906875	1594132907274	OK	 
REQUEST	5		05.01.Admin.Portal.Back2Dashboard	1594132907904	1594132908143	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1594132908232	1594132908510	OK	 
REQUEST	1		09.01.Admin.Portal.AssignJudge	1594132909762	1594132909771	OK	 
REQUEST	3		07.02.Admin.Portal.HearingDetails	1594132910467	1594132910484	OK	 
REQUEST	7		01.02.Admin.Portal.Home	1594132912092	1594132912252	OK	 
REQUEST	2		07.01.Admin.Portal.HearingDetails	1594132914966	1594132914982	OK	 
REQUEST	5		05.02.Admin.Portal.Back2Dashboard	1594132916212	1594132916477	OK	 
REQUEST	4		06.01.Admin.Portal.BookHearing	1594132917063	1594132917071	OK	 
REQUEST	7		01.03.Admin.Portal.Home	1594132917633	1594132917782	OK	 
REQUEST	6		02.00.Admin.Portal.Login	1594132918417	1594132918799	OK	 
USER	Admin-Web-Perf-Test	8	START	1594132919794	1594132919794
REQUEST	8		01.01.Admin.Portal.Home	1594132919796	1594132919825	OK	 
REQUEST	3		08.01.Admin.Portal.HearingSchedule	1594132920605	1594132920614	OK	 
REQUEST	7		01.04.Admin.Portal.Home	1594132923233	1594132923640	OK	 
REQUEST	1		10.01.Admin.Portal.AddParticipant	1594132924727	1594132924737	OK	 
REQUEST	5		06.01.Admin.Portal.BookHearing	1594132925014	1594132925023	OK	 
REQUEST	2		07.02.Admin.Portal.HearingDetails	1594132926147	1594132926165	OK	 
REQUEST	4		06.02.Admin.Portal.BookHearing	1594132931587	1594132931625	OK	 
REQUEST	6		05.01.Admin.Portal.Back2Dashboard	1594132931385	1594132931633	OK	 
REQUEST	8		01.02.Admin.Portal.Home	1594132932623	1594132932753	OK	 
REQUEST	7		02.00.Admin.Portal.Login	1594132934583	1594132934784	OK	 
REQUEST	1		10.03.Admin.Portal.AddParticipant	1594132934402	1594132934852	OK	 
REQUEST	2		08.01.Admin.Portal.HearingSchedule	1594132935173	1594132935182	OK	 
REQUEST	4		07.01.Admin.Portal.HearingDetails	1594132938513	1594132938527	OK	 
REQUEST	3		08.02.Admin.Portal.HearingSchedule	1594132939192	1594132939213	OK	 
USER	Admin-Web-Perf-Test	9	START	1594132939781	1594132939781
REQUEST	9		01.01.Admin.Portal.Home	1594132939782	1594132939814	OK	 
REQUEST	5		06.02.Admin.Portal.BookHearing	1594132939985	1594132940001	OK	 
REQUEST	6		05.02.Admin.Portal.Back2Dashboard	1594132940054	1594132940062	OK	 
REQUEST	2		08.02.Admin.Portal.HearingSchedule	1594132946334	1594132946359	OK	 
REQUEST	8		01.03.Admin.Portal.Home	1594132947485	1594132947626	OK	 
REQUEST	1		10.05.Admin.Portal.AddParticipant	1594132948634	1594132948643	OK	 
REQUEST	7		05.01.Admin.Portal.Back2Dashboard	1594132948711	1594132948968	OK	 
REQUEST	3		09.01.Admin.Portal.AssignJudge	1594132948973	1594132948979	OK	 
REQUEST	6		06.01.Admin.Portal.BookHearing	1594132949782	1594132949790	OK	 
REQUEST	5		07.01.Admin.Portal.HearingDetails	1594132950175	1594132950188	OK	 
REQUEST	9		01.02.Admin.Portal.Home	1594132951104	1594132951241	OK	 
REQUEST	4		07.02.Admin.Portal.HearingDetails	1594132951876	1594132951897	OK	 
REQUEST	8		01.04.Admin.Portal.Home	1594132954717	1594132955109	OK	 
REQUEST	7		05.02.Admin.Portal.Back2Dashboard	1594132955667	1594132955938	OK	 
REQUEST	2		09.01.Admin.Portal.AssignJudge	1594132956417	1594132956426	OK	 
USER	Admin-Web-Perf-Test	10	START	1594132959791	1594132959791
REQUEST	10		01.01.Admin.Portal.Home	1594132959792	1594132959821	OK	 
REQUEST	5		07.02.Admin.Portal.HearingDetails	1594132959874	1594132959889	OK	 
REQUEST	4		08.01.Admin.Portal.HearingSchedule	1594132960731	1594132960741	OK	 
REQUEST	3		10.01.Admin.Portal.AddParticipant	1594132961812	1594132961820	OK	 
REQUEST	1		11.01.Admin.Portal.OtherInfo	1594132963084	1594132963093	OK	 
REQUEST	9		01.03.Admin.Portal.Home	1594132962953	1594132963111	OK	 
REQUEST	6		06.02.Admin.Portal.BookHearing	1594132963582	1594132963860	OK	 
REQUEST	7		06.01.Admin.Portal.BookHearing	1594132966155	1594132966163	OK	 
REQUEST	2		10.01.Admin.Portal.AddParticipant	1594132967155	1594132967163	OK	 
REQUEST	10		01.02.Admin.Portal.Home	1594132969141	1594132969273	OK	 
REQUEST	8		02.00.Admin.Portal.Login	1594132969876	1594132970258	OK	 
REQUEST	3		10.03.Admin.Portal.AddParticipant	1594132972064	1594132972521	OK	 
REQUEST	5		08.01.Admin.Portal.HearingSchedule	1594132973501	1594132973510	OK	 
REQUEST	1		12.01.Admin.Portal.SubmitHearing	1594132973852	1594132974328	OK	 
REQUEST	4		08.02.Admin.Portal.HearingSchedule	1594132974492	1594132974515	OK	 
REQUEST	10		01.03.Admin.Portal.Home	1594132975504	1594132975717	OK	 
REQUEST	8		05.01.Admin.Portal.Back2Dashboard	1594132976813	1594132977098	OK	 
REQUEST	6		07.01.Admin.Portal.HearingDetails	1594132977087	1594132977138	OK	 
REQUEST	2		10.03.Admin.Portal.AddParticipant	1594132976766	1594132977199	OK	 
REQUEST	9		01.04.Admin.Portal.Home	1594132977633	1594132978034	OK	 
USER	Admin-Web-Perf-Test	11	START	1594132979781	1594132979781
REQUEST	11		01.01.Admin.Portal.Home	1594132979782	1594132979812	OK	 
REQUEST	7		06.02.Admin.Portal.BookHearing	1594132981064	1594132981082	OK	 
REQUEST	4		09.01.Admin.Portal.AssignJudge	1594132982016	1594132982030	OK	 
REQUEST	1		12.02.Admin.Portal.SubmitHearing	1594132983754	1594132983764	OK	 
REQUEST	2		10.05.Admin.Portal.AddParticipant	1594132985372	1594132985380	OK	 
REQUEST	8		05.02.Admin.Portal.Back2Dashboard	1594132985495	1594132985737	OK	 
REQUEST	6		07.02.Admin.Portal.HearingDetails	1594132986133	1594132986148	OK	 
REQUEST	3		10.05.Admin.Portal.AddParticipant	1594132986226	1594132986235	OK	 
REQUEST	5		08.02.Admin.Portal.HearingSchedule	1594132986875	1594132986905	OK	 
REQUEST	11		01.02.Admin.Portal.Home	1594132986956	1594132987103	OK	 
REQUEST	10		01.04.Admin.Portal.Home	1594132988257	1594132988669	OK	 
REQUEST	7		07.01.Admin.Portal.HearingDetails	1594132988762	1594132988770	OK	 
REQUEST	2		11.01.Admin.Portal.OtherInfo	1594132991433	1594132991450	OK	 
