RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1604073451104	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1604073452050	1604073452050
REQUEST	1		01.01.Admin.Portal.Home	1604073452100	1604073452169	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1604073459223	1604073459354	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1604073472965	1604073473093	OK	 
USER	Admin-Web-Perf-Test	2	START	1604073482063	1604073482063
REQUEST	2		01.01.Admin.Portal.Home	1604073482065	1604073482119	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1604073487790	1604073488059	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1604073488904	1604073489046	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1604073494343	1604073494449	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1604073499896	1604073500044	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1604073505958	1604073506180	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1604073508292	1604073508553	OK	 
USER	Admin-Web-Perf-Test	3	START	1604073512066	1604073512066
REQUEST	3		01.01.Admin.Portal.Home	1604073512068	1604073512144	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1604073517517	1604073517534	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1604073519842	1604073520018	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1604073524464	1604073524636	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1604073527892	1604073527905	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1604073532964	1604073533561	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1604073538464	1604073538577	OK	 
USER	Admin-Web-Perf-Test	4	START	1604073542063	1604073542063
REQUEST	4		01.01.Admin.Portal.Home	1604073542065	1604073542105	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1604073542672	1604073542727	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1604073544095	1604073544361	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1604073547262	1604073547272	OK	 
REQUEST	1		07.01.Admin.Portal.HearingDetails	1604073549482	1604073549496	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1604073551625	1604073551818	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1604073554366	1604073554511	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1604073558007	1604073558024	OK	 
REQUEST	1		07.02.Admin.Portal.HearingDetails	1604073560642	1604073560669	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1604073560994	1604073561195	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1604073564284	1604073564337	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1604073566464	1604073566646	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1604073567386	1604073567549	OK	 
REQUEST	1		08.01.Admin.Portal.HearingSchedule	1604073569493	1604073569502	OK	 
USER	Admin-Web-Perf-Test	5	START	1604073572063	1604073572063
