RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1594660959842	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1594660960460	1594660960460
REQUEST	1		01.01.Admin.Portal.Home	1594660960505	1594660960543	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1594660970025	1594660970151	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1594660975919	1594660976026	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1594660987431	1594660987818	OK	 
USER	Admin-Web-Perf-Test	2	START	1594660990475	1594660990475
REQUEST	2		01.01.Admin.Portal.Home	1594660990477	1594660990510	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1594660995768	1594660995878	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1594661002641	1594661002794	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1594661004696	1594661004817	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1594661014668	1594661015429	OK	 
USER	Admin-Web-Perf-Test	3	START	1594661020483	1594661020483
REQUEST	3		01.01.Admin.Portal.Home	1594661020484	1594661020522	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1594661019726	1594661020526	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1594661026248	1594661026258	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1594661029853	1594661030012	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1594661032451	1594661032649	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1594661037396	1594661037660	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1594661040616	1594661040730	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1594661045892	1594661046110	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1594661046167	1594661046539	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1594661050356	1594661050397	OK	 
USER	Admin-Web-Perf-Test	4	START	1594661050456	1594661050456
REQUEST	4		01.01.Admin.Portal.Home	1594661050457	1594661050487	OK	 
