timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600249899480,47,Landing Page,200,OK,Thread Group 1-4,text,true,,126,0,4,4,null,0,0,0
1600249899527,12264,BP07_S03_StartSelftest,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,0,0,4,4,null,0,0,0
1600249899527,12264,Start Selftest,200,OK,Thread Group 1-4,text,true,,0,0,4,4,null,0,0,0
1600249885973,28473,BP07_S05_Questions,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,0,0,5,5,null,0,0,0
1600249885973,28473,Questions,200,OK,Thread Group 1-3,text,true,,0,0,5,5,null,0,0,0
1600249911793,4091,BP07_S04_WatchVideo (Escape),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,0,0,5,5,null,0,0,0
1600249911793,4091,Watch Video (Escape),200,OK,Thread Group 1-4,text,true,,0,0,5,5,null,0,0,0
1600249914447,2037,BP07_S06_ParticipantWaitingRoom,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,0,0,5,5,null,0,1,0
1600249914447,2037,Join Waiting Room,200,OK,Thread Group 1-3,text,true,,0,0,5,5,null,0,0,0
1600249916485,31,BP07_S07_ParticipantAttendHearing,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,0,0,5,5,null,0,0,0
1600249916485,31,Join Hearing,200,OK,Thread Group 1-3,text,true,,0,0,5,5,null,0,0,0
1600249886624,30006,BP07_S08_Countdown,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,0,0,5,5,null,0,1,0
1600249886625,30006,Countdown,200,OK,Thread Group 1-2,text,true,,0,0,5,5,null,0,0,0
1600249913368,15809,BP07_S01_LogIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,0,0,5,5,null,0,1,0
1600249913368,15809,Log In,200,OK,Thread Group 1-5,text,true,,0,0,5,5,null,0,0,0
1600249929178,44,BP07_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,126,0,5,5,null,0,0,0
1600249929178,44,Landing Page,200,OK,Thread Group 1-5,text,true,,126,0,5,5,null,0,0,0
1600249929222,12257,BP07_S03_StartSelftest,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,0,0,5,5,null,0,1,0
1600249929222,12257,Start Selftest,200,OK,Thread Group 1-5,text,true,,0,0,5,5,null,0,0,0
1600249915884,28471,BP07_S05_Questions,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,0,0,6,6,null,0,0,0
1600249915884,28471,Questions,200,OK,Thread Group 1-4,text,true,,0,0,6,6,null,0,0,0
1600249941481,4088,BP07_S04_WatchVideo (Escape),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,0,0,6,6,null,0,0,0
1600249941481,4088,Watch Video (Escape),200,OK,Thread Group 1-5,text,true,,0,0,6,6,null,0,0,0
1600249944356,2036,BP07_S06_ParticipantWaitingRoom,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,0,0,6,6,null,0,1,0
1600249944356,2036,Join Waiting Room,200,OK,Thread Group 1-4,text,true,,0,0,6,6,null,0,0,0
1600249946393,31,BP07_S07_ParticipantAttendHearing,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,0,0,6,6,null,0,0,0
1600249946393,31,Join Hearing,200,OK,Thread Group 1-4,text,true,,0,0,6,6,null,0,0,0
1600249916516,30005,BP07_S08_Countdown,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,0,0,6,6,null,0,0,0
1600249916516,30005,Countdown,200,OK,Thread Group 1-3,text,true,,0,0,6,6,null,0,0,0
1600249943368,15881,BP07_S01_LogIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,0,0,6,6,null,0,0,0
1600249943368,15881,Log In,200,OK,Thread Group 1-6,text,true,,0,0,6,6,null,0,0,0
1600249959250,41,BP07_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,126,0,6,6,null,0,0,0
1600249959250,41,Landing Page,200,OK,Thread Group 1-6,text,true,,126,0,6,6,null,0,0,0
1600249959291,12247,BP07_S03_StartSelftest,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,0,0,6,6,null,0,0,0
1600249959291,12247,Start Selftest,200,OK,Thread Group 1-6,text,true,,0,0,6,6,null,0,0,0
1600249945569,28473,BP07_S05_Questions,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,0,0,7,7,null,0,0,0
1600249945569,28473,Questions,200,OK,Thread Group 1-5,text,true,,0,0,7,7,null,0,0,0
1600249971538,4089,BP07_S04_WatchVideo (Escape),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,0,0,7,7,null,0,0,0
1600249971538,4089,Watch Video (Escape),200,OK,Thread Group 1-6,text,true,,0,0,7,7,null,0,0,0
1600249974043,2032,BP07_S06_ParticipantWaitingRoom,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,0,0,7,7,null,0,1,0
1600249974043,2032,Join Waiting Room,200,OK,Thread Group 1-5,text,true,,0,0,7,7,null,0,0,0
1600249976076,32,BP07_S07_ParticipantAttendHearing,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,0,0,7,7,null,0,0,0
1600249976076,32,Join Hearing,200,OK,Thread Group 1-5,text,true,,0,0,7,7,null,0,0,0
