timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599061748981,11745,BP06_S01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,2,2,null,0,0,0
1599061748981,11745,Log In,200,OK,Thread Group 1-1,text,true,,0,0,2,2,null,0,0,0
1599061760725,64,BP06_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,97,0,2,2,null,0,0,0
1599061760725,64,Landing Page,200,OK,Thread Group 1-1,text,true,,97,0,2,2,null,0,0,0
1599061760789,1053,BP06_S03_OpenHearing,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,3,3,null,0,0,0
1599061760789,1053,Open Hearing,200,OK,Thread Group 1-1,text,true,,0,0,3,3,null,0,0,0
1599061754976,10418,BP06_S01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,0,0,3,3,null,0,0,0
1599061754976,10418,Log In,200,OK,Thread Group 1-2,text,true,,0,0,3,3,null,0,0,0
1599061765394,46,BP06_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,97,0,3,3,null,0,0,0
1599061765394,46,Landing Page,200,OK,Thread Group 1-2,text,true,,97,0,3,3,null,0,0,0
1599061765440,1054,BP06_S03_OpenHearing,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,0,0,3,3,null,0,1,0
1599061765441,1054,Open Hearing,200,OK,Thread Group 1-2,text,true,,0,0,3,3,null,0,0,0
1599061760977,9891,BP06_S01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,0,0,4,4,null,0,0,0
1599061760977,9891,Log In,200,OK,Thread Group 1-3,text,true,,0,0,4,4,null,0,0,0
1599061770867,47,BP06_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,97,0,4,4,null,0,0,0
1599061770867,47,Landing Page,200,OK,Thread Group 1-3,text,true,,97,0,4,4,null,0,0,0
1599061770914,1054,BP06_S03_OpenHearing,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,0,0,4,4,null,0,1,0
1599061770914,1054,Open Hearing,200,OK,Thread Group 1-3,text,true,,0,0,4,4,null,0,0,0
1599061766976,9892,BP06_S01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,0,0,5,5,null,0,1,0
1599061766976,9892,Log In,200,OK,Thread Group 1-4,text,true,,0,0,5,5,null,0,0,0
1599061776868,43,BP06_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,97,0,5,5,null,0,1,0
1599061776868,43,Landing Page,200,OK,Thread Group 1-4,text,true,,97,0,5,5,null,0,0,0
1599061776912,1053,BP06_S03_OpenHearing,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,0,0,5,5,null,0,0,0
1599061776912,1053,Open Hearing,200,OK,Thread Group 1-4,text,true,,0,0,5,5,null,0,0,0
1599061761842,20005,BP06_S04_WaitForParticipants,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,5,5,null,0,1,0
1599061761842,20005,Wait For Participants,200,OK,Thread Group 1-1,text,true,,0,0,5,5,null,0,0,0
1599061772977,9842,BP06_S01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,0,0,5,5,null,0,0,0
1599061772977,9842,Log In,200,OK,Thread Group 1-5,text,true,,0,0,5,5,null,0,0,0
1599061782818,43,BP06_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,97,0,5,5,null,0,0,0
1599061782818,43,Landing Page,200,OK,Thread Group 1-5,text,true,,97,0,5,5,null,0,0,0
1599061782861,1053,BP06_S03_OpenHearing,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,0,0,5,5,null,0,1,0
1599061782861,1053,Open Hearing,200,OK,Thread Group 1-5,text,true,,0,0,5,5,null,0,0,0
