RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1604062463789	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1604062464649	1604062464649
REQUEST	1		01.01.Admin.Portal.Home	1604062464697	1604062464791	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1604062469972	1604062470144	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1604062484832	1604062484995	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1604062493234	1604062493507	OK	 
USER	Admin-Web-Perf-Test	2	START	1604062494662	1604062494662
REQUEST	2		01.01.Admin.Portal.Home	1604062494663	1604062494719	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1604062507117	1604062507282	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1604062508621	1604062508765	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1604062512440	1604062512822	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1604062514201	1604062514540	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1604062519651	1604062519660	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1604062522690	1604062522979	OK	 
USER	Admin-Web-Perf-Test	3	START	1604062524662	1604062524662
REQUEST	3		01.01.Admin.Portal.Home	1604062524664	1604062524709	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1604062531091	1604062531229	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1604062532768	1604062532995	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1604062536770	1604062537015	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1604062542393	1604062542598	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1604062544833	1604062544852	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1604062545228	1604062545443	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1604062552388	1604062552612	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1604062553973	1604062554316	OK	 
USER	Admin-Web-Perf-Test	4	START	1604062554657	1604062554657
REQUEST	4		01.01.Admin.Portal.Home	1604062554659	1604062554701	OK	 
REQUEST	1		07.01.Admin.Portal.HearingDetails	1604062555089	1604062555104	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1604062560478	1604062560492	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1604062562342	1604062562578	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1604062567224	1604062567264	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1604062568061	1604062568202	OK	 
REQUEST	1		07.02.Admin.Portal.HearingDetails	1604062568747	1604062568792	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1604062575569	1604062575774	OK	 
REQUEST	2		07.01.Admin.Portal.HearingDetails	1604062577438	1604062577449	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1604062581351	1604062581592	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1604062581528	1604062581790	OK	 
REQUEST	1		08.01.Admin.Portal.HearingSchedule	1604062581890	1604062581899	OK	 
USER	Admin-Web-Perf-Test	5	START	1604062584660	1604062584660
REQUEST	5		01.01.Admin.Portal.Home	1604062584661	1604062584735	OK	 
REQUEST	2		07.02.Admin.Portal.HearingDetails	1604062586519	1604062586554	OK	 
REQUEST	4		01.04.Admin.Portal.Home	1604062588293	1604062588517	OK	 
REQUEST	3		06.01.Admin.Portal.BookHearing	1604062589143	1604062589152	OK	 
REQUEST	5		01.02.Admin.Portal.Home	1604062591283	1604062591432	OK	 
REQUEST	2		08.01.Admin.Portal.HearingSchedule	1604062593461	1604062593470	OK	 
REQUEST	1		08.02.Admin.Portal.HearingSchedule	1604062597098	1604062597192	OK	 
REQUEST	3		06.02.Admin.Portal.BookHearing	1604062598793	1604062598856	OK	 
