RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1594159484926	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1594159485863	1594159485863
REQUEST	1		01.01.Admin.Portal.Home	1594159485908	1594159486025	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1594159499310	1594159499428	OK	 
USER	Admin-Web-Perf-Test	2	START	1594159505865	1594159505865
REQUEST	2		01.01.Admin.Portal.Home	1594159505866	1594159505908	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1594159507880	1594159507989	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1594159511429	1594159511536	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1594159520604	1594159520810	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1594159522480	1594159522829	OK	 
USER	Admin-Web-Perf-Test	3	START	1594159525875	1594159525875
REQUEST	3		01.01.Admin.Portal.Home	1594159525877	1594159525909	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1594159525908	1594159526250	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1594159533137	1594159533506	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1594159537434	1594159537612	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1594159540683	1594159540798	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1594159543537	1594159543798	OK	 
USER	Admin-Web-Perf-Test	4	START	1594159545877	1594159545877
REQUEST	4		01.01.Admin.Portal.Home	1594159545878	1594159545910	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1594159551658	1594159551921	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1594159553466	1594159553703	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1594159554206	1594159554319	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1594159554458	1594159554573	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1594159561105	1594159561448	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1594159561688	1594159561696	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1594159561893	1594159561994	OK	 
USER	Admin-Web-Perf-Test	5	START	1594159565868	1594159565868
REQUEST	5		01.01.Admin.Portal.Home	1594159565869	1594159565904	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1594159566867	1594159566878	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1594159567668	1594159568026	OK	 
REQUEST	4		01.04.Admin.Portal.Home	1594159569583	1594159569933	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1594159574073	1594159574122	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1594159574564	1594159574851	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1594159575454	1594159575466	OK	 
REQUEST	4		02.00.Admin.Portal.Login	1594159577099	1594159577474	OK	 
REQUEST	5		01.02.Admin.Portal.Home	1594159579836	1594159579952	OK	 
REQUEST	2		07.01.Admin.Portal.HearingDetails	1594159581393	1594159581411	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1594159582344	1594159582353	OK	 
USER	Admin-Web-Perf-Test	6	START	1594159585878	1594159585878
REQUEST	6		01.01.Admin.Portal.Home	1594159585879	1594159585909	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1594159586426	1594159586467	OK	 
REQUEST	2		07.02.Admin.Portal.HearingDetails	1594159587117	1594159587134	OK	 
REQUEST	4		05.01.Admin.Portal.Back2Dashboard	1594159589636	1594159589920	OK	 
REQUEST	5		01.03.Admin.Portal.Home	1594159592615	1594159592743	OK	 
REQUEST	2		08.01.Admin.Portal.HearingSchedule	1594159593166	1594159593175	OK	 
REQUEST	3		06.01.Admin.Portal.BookHearing	1594159595673	1594159595907	OK	 
REQUEST	1		07.01.Admin.Portal.HearingDetails	1594159598615	1594159598623	OK	 
REQUEST	6		01.02.Admin.Portal.Home	1594159598528	1594159598636	OK	 
REQUEST	4		05.02.Admin.Portal.Back2Dashboard	1594159603554	1594159603792	OK	 
USER	Admin-Web-Perf-Test	7	START	1594159605873	1594159605873
REQUEST	7		01.01.Admin.Portal.Home	1594159605874	1594159605910	OK	 
REQUEST	2		08.02.Admin.Portal.HearingSchedule	1594159605703	1594159606020	OK	 
REQUEST	3		06.02.Admin.Portal.BookHearing	1594159606238	1594159606256	OK	 
REQUEST	5		01.04.Admin.Portal.Home	1594159606363	1594159606705	OK	 
REQUEST	6		01.03.Admin.Portal.Home	1594159607457	1594159607579	OK	 
REQUEST	1		07.02.Admin.Portal.HearingDetails	1594159609873	1594159610179	OK	 
REQUEST	7		01.02.Admin.Portal.Home	1594159614173	1594159614290	OK	 
REQUEST	3		07.01.Admin.Portal.HearingDetails	1594159614283	1594159614293	OK	 
REQUEST	6		01.04.Admin.Portal.Home	1594159614473	1594159614892	OK	 
REQUEST	5		02.00.Admin.Portal.Login	1594159615694	1594159615873	OK	 
REQUEST	4		06.01.Admin.Portal.BookHearing	1594159616118	1594159616126	OK	 
REQUEST	2		09.01.Admin.Portal.AssignJudge	1594159620438	1594159620454	OK	 
REQUEST	1		08.01.Admin.Portal.HearingSchedule	1594159621029	1594159621037	OK	 
REQUEST	7		01.03.Admin.Portal.Home	1594159621713	1594159621931	OK	 
REQUEST	4		06.02.Admin.Portal.BookHearing	1594159622616	1594159622643	OK	 
REQUEST	3		07.02.Admin.Portal.HearingDetails	1594159622955	1594159622979	OK	 
USER	Admin-Web-Perf-Test	8	START	1594159625875	1594159625875
REQUEST	8		01.01.Admin.Portal.Home	1594159625876	1594159625911	OK	 
REQUEST	4		07.01.Admin.Portal.HearingDetails	1594159628286	1594159628295	OK	 
REQUEST	6		02.00.Admin.Portal.Login	1594159628027	1594159628394	OK	 
REQUEST	3		08.01.Admin.Portal.HearingSchedule	1594159630563	1594159630591	OK	 
REQUEST	5		05.01.Admin.Portal.Back2Dashboard	1594159630548	1594159630799	OK	 
REQUEST	2		10.01.Admin.Portal.AddParticipant	1594159634208	1594159634216	OK	 
REQUEST	1		08.02.Admin.Portal.HearingSchedule	1594159634293	1594159634571	OK	 
REQUEST	7		01.04.Admin.Portal.Home	1594159635375	1594159635722	OK	 
REQUEST	6		05.01.Admin.Portal.Back2Dashboard	1594159637438	1594159637669	OK	 
REQUEST	8		01.02.Admin.Portal.Home	1594159639925	1594159640043	OK	 
REQUEST	7		02.00.Admin.Portal.Login	1594159640925	1594159641096	OK	 
REQUEST	1		09.01.Admin.Portal.AssignJudge	1594159641143	1594159641152	OK	 
REQUEST	4		07.02.Admin.Portal.HearingDetails	1594159641648	1594159641664	OK	 
REQUEST	5		05.02.Admin.Portal.Back2Dashboard	1594159644587	1594159644596	OK	 
REQUEST	3		08.02.Admin.Portal.HearingSchedule	1594159645627	1594159645652	OK	 
USER	Admin-Web-Perf-Test	9	START	1594159645874	1594159645874
REQUEST	9		01.01.Admin.Portal.Home	1594159645874	1594159645904	OK	 
REQUEST	4		08.01.Admin.Portal.HearingSchedule	1594159648885	1594159648911	OK	 
REQUEST	2		10.03.Admin.Portal.AddParticipant	1594159648294	1594159648969	OK	 
REQUEST	6		05.02.Admin.Portal.Back2Dashboard	1594159649263	1594159649272	OK	 
REQUEST	1		10.01.Admin.Portal.AddParticipant	1594159649563	1594159649577	OK	 
REQUEST	7		05.01.Admin.Portal.Back2Dashboard	1594159649995	1594159650245	OK	 
REQUEST	8		01.03.Admin.Portal.Home	1594159652105	1594159652219	OK	 
REQUEST	5		06.01.Admin.Portal.BookHearing	1594159652505	1594159652514	OK	 
REQUEST	9		01.02.Admin.Portal.Home	1594159653194	1594159653310	OK	 
REQUEST	7		05.02.Admin.Portal.Back2Dashboard	1594159655483	1594159655764	OK	 
REQUEST	1		10.03.Admin.Portal.AddParticipant	1594159655545	1594159656162	OK	 
REQUEST	8		01.04.Admin.Portal.Home	1594159658265	1594159658605	OK	 
REQUEST	6		06.01.Admin.Portal.BookHearing	1594159659293	1594159659303	OK	 
REQUEST	2		10.05.Admin.Portal.AddParticipant	1594159659484	1594159659492	OK	 
REQUEST	3		09.01.Admin.Portal.AssignJudge	1594159660027	1594159660036	OK	 
REQUEST	4		08.02.Admin.Portal.HearingSchedule	1594159661925	1594159661979	OK	 
REQUEST	9		01.03.Admin.Portal.Home	1594159663788	1594159663900	OK	 
REQUEST	7		06.01.Admin.Portal.BookHearing	1594159663947	1594159663955	OK	 
USER	Admin-Web-Perf-Test	10	START	1594159665873	1594159665873
REQUEST	10		01.01.Admin.Portal.Home	1594159665874	1594159665905	OK	 
