RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1594202183542	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1594202184489	1594202184489
REQUEST	1		01.01.Admin.Portal.Home	1594202184535	1594202184668	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1594202196492	1594202196615	OK	 
USER	Admin-Web-Perf-Test	2	START	1594202204500	1594202204500
REQUEST	2		01.01.Admin.Portal.Home	1594202204501	1594202204533	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1594202207803	1594202207906	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1594202217848	1594202217994	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1594202222244	1594202222598	OK	 
USER	Admin-Web-Perf-Test	3	START	1594202224499	1594202224499
REQUEST	3		01.01.Admin.Portal.Home	1594202224500	1594202224546	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1594202228910	1594202229016	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1594202235620	1594202235733	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1594202236903	1594202237069	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1594202240611	1594202240950	OK	 
USER	Admin-Web-Perf-Test	4	START	1594202244495	1594202244495
REQUEST	4		01.01.Admin.Portal.Home	1594202244497	1594202244529	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1594202247156	1594202247270	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1594202251432	1594202251846	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1594202252029	1594202252214	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1594202257237	1594202257360	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1594202259676	1594202260174	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1594202263600	1594202263990	OK	 
USER	Admin-Web-Perf-Test	5	START	1594202264498	1594202264498
REQUEST	5		01.01.Admin.Portal.Home	1594202264500	1594202264535	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1594202266281	1594202266618	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1594202268459	1594202268598	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1594202270296	1594202270670	OK	 
REQUEST	5		01.02.Admin.Portal.Home	1594202277272	1594202277399	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1594202277606	1594202277617	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1594202280686	1594202280918	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1594202281286	1594202281297	OK	 
REQUEST	4		01.04.Admin.Portal.Home	1594202283199	1594202283544	OK	 
USER	Admin-Web-Perf-Test	6	START	1594202284508	1594202284508
REQUEST	6		01.01.Admin.Portal.Home	1594202284509	1594202284545	OK	 
REQUEST	5		01.03.Admin.Portal.Home	1594202288708	1594202289011	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1594202291577	1594202291653	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1594202292299	1594202292307	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1594202295400	1594202295409	OK	 
REQUEST	6		01.02.Admin.Portal.Home	1594202296056	1594202296190	OK	 
REQUEST	4		02.00.Admin.Portal.Login	1594202298371	1594202298550	OK	 
REQUEST	1		07.01.Admin.Portal.HearingDetails	1594202302307	1594202302317	OK	 
REQUEST	5		01.04.Admin.Portal.Home	1594202302396	1594202302731	OK	 
USER	Admin-Web-Perf-Test	7	START	1594202304498	1594202304498
REQUEST	7		01.01.Admin.Portal.Home	1594202304499	1594202304536	OK	 
REQUEST	3		06.01.Admin.Portal.BookHearing	1594202306272	1594202306538	OK	 
REQUEST	4		05.01.Admin.Portal.Back2Dashboard	1594202308586	1594202308874	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1594202308279	1594202308964	OK	 
REQUEST	6		01.03.Admin.Portal.Home	1594202309011	1594202309118	OK	 
REQUEST	1		07.02.Admin.Portal.HearingDetails	1594202312676	1594202312710	OK	 
REQUEST	5		02.00.Admin.Portal.Login	1594202316767	1594202316930	OK	 
REQUEST	3		06.02.Admin.Portal.BookHearing	1594202318136	1594202318154	OK	 
REQUEST	7		01.02.Admin.Portal.Home	1594202318348	1594202318473	OK	 
REQUEST	6		01.04.Admin.Portal.Home	1594202320480	1594202320828	OK	 
