RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1594213011075	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1594213012042	1594213012042
REQUEST	1		01.01.Admin.Portal.Home	1594213012088	1594213012230	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1594213031802	1594213031940	OK	 
USER	Admin-Web-Perf-Test	2	START	1594213042057	1594213042057
REQUEST	2		01.01.Admin.Portal.Home	1594213042058	1594213042096	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1594213050802	1594213050935	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1594213059242	1594213059610	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1594213068544	1594213068901	OK	 
USER	Admin-Web-Perf-Test	3	START	1594213072049	1594213072049
REQUEST	3		01.01.Admin.Portal.Home	1594213072050	1594213072104	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1594213078649	1594213078881	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1594213086103	1594213086259	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1594213090530	1594213090652	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1594213091497	1594213091832	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1594213101677	1594213101939	OK	 
USER	Admin-Web-Perf-Test	4	START	1594213102051	1594213102051
REQUEST	4		01.01.Admin.Portal.Home	1594213102052	1594213102088	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1594213108008	1594213108193	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1594213108356	1594213108485	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1594213116330	1594213116456	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1594213120610	1594213120960	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1594213121921	1594213121930	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1594213122522	1594213122871	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1594213130679	1594213130798	OK	 
USER	Admin-Web-Perf-Test	5	START	1594213132049	1594213132049
REQUEST	5		01.01.Admin.Portal.Home	1594213132050	1594213132086	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1594213134139	1594213134149	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1594213135287	1594213135451	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1594213135997	1594213136011	OK	 
REQUEST	4		01.04.Admin.Portal.Home	1594213141567	1594213141911	OK	 
REQUEST	5		01.02.Admin.Portal.Home	1594213145937	1594213146060	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1594213147888	1594213148134	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1594213150270	1594213150304	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1594213154567	1594213154827	OK	 
REQUEST	4		02.00.Admin.Portal.Login	1594213157471	1594213157921	OK	 
REQUEST	5		01.03.Admin.Portal.Home	1594213159421	1594213159560	OK	 
USER	Admin-Web-Perf-Test	6	START	1594213162047	1594213162047
REQUEST	6		01.01.Admin.Portal.Home	1594213162048	1594213162090	OK	 
REQUEST	1		07.01.Admin.Portal.HearingDetails	1594213163336	1594213163604	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1594213166058	1594213166081	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1594213167641	1594213167650	OK	 
REQUEST	4		05.01.Admin.Portal.Back2Dashboard	1594213169608	1594213169881	OK	 
REQUEST	6		01.02.Admin.Portal.Home	1594213173120	1594213173235	OK	 
REQUEST	1		07.02.Admin.Portal.HearingDetails	1594213177728	1594213177745	OK	 
REQUEST	5		01.04.Admin.Portal.Home	1594213177880	1594213178223	OK	 
REQUEST	3		06.01.Admin.Portal.BookHearing	1594213181141	1594213181156	OK	 
REQUEST	2		07.01.Admin.Portal.HearingDetails	1594213181316	1594213181325	OK	 
REQUEST	4		05.02.Admin.Portal.Back2Dashboard	1594213185997	1594213186241	OK	 
REQUEST	6		01.03.Admin.Portal.Home	1594213189601	1594213189720	OK	 
REQUEST	1		08.01.Admin.Portal.HearingSchedule	1594213190719	1594213190780	OK	 
REQUEST	3		06.02.Admin.Portal.BookHearing	1594213191859	1594213191886	OK	 
USER	Admin-Web-Perf-Test	7	START	1594213192058	1594213192058
REQUEST	7		01.01.Admin.Portal.Home	1594213192059	1594213192089	OK	 
REQUEST	2		07.02.Admin.Portal.HearingDetails	1594213193037	1594213193069	OK	 
REQUEST	5		02.00.Admin.Portal.Login	1594213192687	1594213193075	OK	 
REQUEST	3		07.01.Admin.Portal.HearingDetails	1594213202030	1594213202050	OK	 
REQUEST	6		01.04.Admin.Portal.Home	1594213201757	1594213202103	OK	 
REQUEST	4		06.01.Admin.Portal.BookHearing	1594213202227	1594213202243	OK	 
REQUEST	2		08.01.Admin.Portal.HearingSchedule	1594213204057	1594213204065	OK	 
REQUEST	1		08.02.Admin.Portal.HearingSchedule	1594213206810	1594213206862	OK	 
REQUEST	7		01.02.Admin.Portal.Home	1594213207011	1594213207126	OK	 
REQUEST	5		05.01.Admin.Portal.Back2Dashboard	1594213212787	1594213213065	OK	 
REQUEST	3		07.02.Admin.Portal.HearingDetails	1594213214498	1594213214586	OK	 
REQUEST	6		02.00.Admin.Portal.Login	1594213214851	1594213215036	OK	 
REQUEST	4		06.02.Admin.Portal.BookHearing	1594213217346	1594213217380	OK	 
REQUEST	1		09.01.Admin.Portal.AssignJudge	1594213220136	1594213220145	OK	 
REQUEST	7		01.03.Admin.Portal.Home	1594213221776	1594213221914	OK	 
USER	Admin-Web-Perf-Test	8	START	1594213222049	1594213222049
REQUEST	8		01.01.Admin.Portal.Home	1594213222050	1594213222080	OK	 
REQUEST	2		08.02.Admin.Portal.HearingSchedule	1594213226968	1594213226990	OK	 
REQUEST	6		05.01.Admin.Portal.Back2Dashboard	1594213229736	1594213230031	OK	 
REQUEST	5		05.02.Admin.Portal.Back2Dashboard	1594213232879	1594213233149	OK	 
REQUEST	3		08.01.Admin.Portal.HearingSchedule	1594213233470	1594213233721	OK	 
REQUEST	4		07.01.Admin.Portal.HearingDetails	1594213235161	1594213235169	OK	 
REQUEST	7		01.04.Admin.Portal.Home	1594213235660	1594213236004	OK	 
REQUEST	1		10.01.Admin.Portal.AddParticipant	1594213237958	1594213237973	OK	 
REQUEST	8		01.02.Admin.Portal.Home	1594213238169	1594213238284	OK	 
REQUEST	2		09.01.Admin.Portal.AssignJudge	1594213241006	1594213241016	OK	 
REQUEST	5		06.01.Admin.Portal.BookHearing	1594213245160	1594213245170	OK	 
REQUEST	6		05.02.Admin.Portal.Back2Dashboard	1594213247609	1594213247869	OK	 
REQUEST	1		10.03.Admin.Portal.AddParticipant	1594213248346	1594213248891	OK	 
REQUEST	4		07.02.Admin.Portal.HearingDetails	1594213249681	1594213249706	OK	 
REQUEST	7		02.00.Admin.Portal.Login	1594213250411	1594213250583	OK	 
REQUEST	3		08.02.Admin.Portal.HearingSchedule	1594213251726	1594213251760	OK	 
USER	Admin-Web-Perf-Test	9	START	1594213252050	1594213252050
REQUEST	9		01.01.Admin.Portal.Home	1594213252051	1594213252081	OK	 
REQUEST	8		01.03.Admin.Portal.Home	1594213253632	1594213253748	OK	 
REQUEST	2		10.01.Admin.Portal.AddParticipant	1594213255927	1594213255935	OK	 
REQUEST	5		06.02.Admin.Portal.BookHearing	1594213258679	1594213258698	OK	 
REQUEST	1		10.05.Admin.Portal.AddParticipant	1594213260666	1594213260676	OK	 
REQUEST	3		09.01.Admin.Portal.AssignJudge	1594213262486	1594213262495	OK	 
REQUEST	6		06.01.Admin.Portal.BookHearing	1594213262760	1594213262769	OK	 
REQUEST	8		01.04.Admin.Portal.Home	1594213264050	1594213264385	OK	 
REQUEST	4		08.01.Admin.Portal.HearingSchedule	1594213265069	1594213265078	OK	 
REQUEST	9		01.02.Admin.Portal.Home	1594213266258	1594213266370	OK	 
REQUEST	7		05.01.Admin.Portal.Back2Dashboard	1594213268576	1594213268827	OK	 
REQUEST	2		10.03.Admin.Portal.AddParticipant	1594213269706	1594213270245	OK	 
REQUEST	5		07.01.Admin.Portal.HearingDetails	1594213271940	1594213271949	OK	 
REQUEST	1		11.01.Admin.Portal.OtherInfo	1594213274019	1594213274056	OK	 
REQUEST	8		02.00.Admin.Portal.Login	1594213274928	1594213275105	OK	 
REQUEST	9		01.03.Admin.Portal.Home	1594213278880	1594213278989	OK	 
REQUEST	2		10.05.Admin.Portal.AddParticipant	1594213281396	1594213281405	OK	 
REQUEST	3		10.01.Admin.Portal.AddParticipant	1594213281896	1594213281907	OK	 
USER	Admin-Web-Perf-Test	10	START	1594213282049	1594213282049
REQUEST	10		01.01.Admin.Portal.Home	1594213282050	1594213282079	OK	 
REQUEST	6		06.02.Admin.Portal.BookHearing	1594213282168	1594213282186	OK	 
REQUEST	7		05.02.Admin.Portal.Back2Dashboard	1594213285452	1594213285461	OK	 
REQUEST	5		07.02.Admin.Portal.HearingDetails	1594213287066	1594213287092	OK	 
REQUEST	4		08.02.Admin.Portal.HearingSchedule	1594213287427	1594213287475	OK	 
REQUEST	1		12.01.Admin.Portal.SubmitHearing	1594213287690	1594213288239	OK	 
REQUEST	9		01.04.Admin.Portal.Home	1594213291501	1594213291868	OK	 
REQUEST	6		07.01.Admin.Portal.HearingDetails	1594213294697	1594213294712	OK	 
REQUEST	8		05.01.Admin.Portal.Back2Dashboard	1594213292657	1594213295372	OK	 
REQUEST	5		08.01.Admin.Portal.HearingSchedule	1594213298131	1594213298139	OK	 
REQUEST	3		10.03.Admin.Portal.AddParticipant	1594213297806	1594213298363	OK	 
REQUEST	4		09.01.Admin.Portal.AssignJudge	1594213298759	1594213298768	OK	 
REQUEST	2		11.01.Admin.Portal.OtherInfo	1594213299040	1594213299050	OK	 
REQUEST	10		01.02.Admin.Portal.Home	1594213299147	1594213299268	OK	 
REQUEST	1		12.02.Admin.Portal.SubmitHearing	1594213301896	1594213301905	OK	 
REQUEST	7		06.01.Admin.Portal.BookHearing	1594213304129	1594213304367	OK	 
REQUEST	9		02.00.Admin.Portal.Login	1594213305661	1594213305830	OK	 
REQUEST	3		10.05.Admin.Portal.AddParticipant	1594213308731	1594213308741	OK	 
REQUEST	6		07.02.Admin.Portal.HearingDetails	1594213309868	1594213309927	OK	 
REQUEST	4		10.01.Admin.Portal.AddParticipant	1594213311039	1594213311051	OK	 
USER	Admin-Web-Perf-Test	11	START	1594213312048	1594213312048
REQUEST	11		01.01.Admin.Portal.Home	1594213312049	1594213312085	OK	 
REQUEST	8		05.02.Admin.Portal.Back2Dashboard	1594213312858	1594213312867	OK	 
REQUEST	5		08.02.Admin.Portal.HearingSchedule	1594213315006	1594213315024	OK	 
REQUEST	2		12.01.Admin.Portal.SubmitHearing	1594213314898	1594213315919	OK	 
REQUEST	1		12.03.Admin.Portal.SubmitHearing	1594213316601	1594213316623	OK	 
REQUEST	10		01.03.Admin.Portal.Home	1594213317319	1594213317431	OK	 
REQUEST	4		10.03.Admin.Portal.AddParticipant	1594213322326	1594213322798	OK	 
REQUEST	9		05.01.Admin.Portal.Back2Dashboard	1594213322892	1594213323173	OK	 
REQUEST	7		06.02.Admin.Portal.BookHearing	1594213323238	1594213323263	OK	 
REQUEST	3		11.01.Admin.Portal.OtherInfo	1594213324736	1594213324744	OK	 
