RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1595521235297	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1595521236075	1595521236075
REQUEST	1		01.01.Admin.Portal.Home	1595521236125	1595521236258	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1595521246537	1595521246706	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1595521258710	1595521258871	OK	 
USER	Admin-Web-Perf-Test	2	START	1595521266088	1595521266088
REQUEST	2		01.01.Admin.Portal.Home	1595521266090	1595521266133	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1595521268671	1595521268953	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1595521271276	1595521271419	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1595521281646	1595521281991	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1595521281870	1595521282289	KO	headerRegex((Location,id_token=(.+?)&)).find.exists, found nothing
REQUEST	1		01.01.Admin.Portal.Home	1595521290967	1595521290983	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1595521295468	1595521295743	OK	 
USER	Admin-Web-Perf-Test	3	START	1595521296075	1595521296075
REQUEST	3		01.01.Admin.Portal.Home	1595521296076	1595521296109	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1595521301126	1595521301200	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1595521306587	1595521306735	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1595521306756	1595521306928	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1595521315456	1595521315691	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1595521315636	1595521315797	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1595521321007	1595521321326	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1595521321942	1595521322230	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1595521322340	1595521322624	OK	 
USER	Admin-Web-Perf-Test	4	START	1595521326087	1595521326087
REQUEST	4		01.01.Admin.Portal.Home	1595521326088	1595521326120	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1595521326709	1595521326720	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1595521333676	1595521333902	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1595521334417	1595521334585	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1595521338550	1595521338720	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1595521340816	1595521340825	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1595521344079	1595521344390	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1595521347110	1595521347319	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1595521347176	1595521347334	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1595521350265	1595521350502	OK	 
REQUEST	4		01.04.Admin.Portal.Home	1595521354236	1595521354517	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1595521355506	1595521355709	OK	 
USER	Admin-Web-Perf-Test	5	START	1595521356088	1595521356088
REQUEST	5		01.01.Admin.Portal.Home	1595521356089	1595521356121	OK	 
REQUEST	2		07.01.Admin.Portal.HearingDetails	1595521357573	1595521357589	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1595521358149	1595521358159	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1595521364756	1595521364765	OK	 
REQUEST	5		01.02.Admin.Portal.Home	1595521366778	1595521366940	OK	 
